x=[0.001952], y=[0.999999], z=[0.000000]
x=[0.003902], y=[0.999996], z=[0.000000]
x=[0.005851], y=[0.999991], z=[0.000000]
x=[0.007797], y=[0.999985], z=[0.000000]
x=[0.009742], y=[0.999976], z=[0.000000]
x=[0.011684], y=[0.999966], z=[0.000000]
x=[0.013625], y=[0.999953], z=[0.000000]
x=[0.015564], y=[0.999939], z=[0.000000]
x=[0.017501], y=[0.999923], z=[0.000000]
x=[0.019436], y=[0.999905], z=[0.000000]
x=[0.021369], y=[0.999885], z=[0.000000]
x=[0.023300], y=[0.999863], z=[0.000000]
x=[0.025229], y=[0.999839], z=[0.000000]
x=[0.027157], y=[0.999813], z=[0.000000]
x=[0.029082], y=[0.999785], z=[0.000000]
x=[0.031006], y=[0.999756], z=[0.000000]
x=[0.032928], y=[0.999724], z=[0.000000]
x=[0.034847], y=[0.999691], z=[0.000000]
x=[0.036765], y=[0.999656], z=[0.000000]
x=[0.038681], y=[0.999619], z=[0.000000]
x=[0.040595], y=[0.999579], z=[0.000000]
x=[0.042507], y=[0.999538], z=[0.000000]
x=[0.044417], y=[0.999496], z=[0.000000]
x=[0.046326], y=[0.999451], z=[0.000000]
x=[0.048232], y=[0.999404], z=[0.000000]
x=[0.050137], y=[0.999355], z=[0.000000]
x=[0.052039], y=[0.999305], z=[0.000000]
x=[0.053940], y=[0.999252], z=[0.000000]
x=[0.055839], y=[0.999198], z=[0.000000]
x=[0.057735], y=[0.999142], z=[0.000000]
x=[0.059630], y=[0.999084], z=[0.000000]
x=[0.061523], y=[0.999023], z=[0.000000]
x=[0.063415], y=[0.998961], z=[0.000000]
x=[0.065304], y=[0.998898], z=[0.000000]
x=[0.067191], y=[0.998832], z=[0.000000]
x=[0.069077], y=[0.998764], z=[0.000000]
x=[0.070960], y=[0.998694], z=[0.000000]
x=[0.072842], y=[0.998623], z=[0.000000]
x=[0.074721], y=[0.998549], z=[0.000000]
x=[0.076599], y=[0.998474], z=[0.000000]
x=[0.078475], y=[0.998397], z=[0.000000]
x=[0.080349], y=[0.998318], z=[0.000000]
x=[0.082221], y=[0.998237], z=[0.000000]
x=[0.084091], y=[0.998154], z=[0.000000]
x=[0.085959], y=[0.998069], z=[0.000000]
x=[0.087826], y=[0.997982], z=[0.000000]
x=[0.089690], y=[0.997893], z=[0.000000]
x=[0.091553], y=[0.997803], z=[0.000000]
x=[0.093413], y=[0.997710], z=[0.000000]
x=[0.095272], y=[0.997616], z=[0.000000]
x=[0.097129], y=[0.997519], z=[0.000000]
x=[0.098984], y=[0.997421], z=[0.000000]
x=[0.100837], y=[0.997321], z=[0.000000]
x=[0.102688], y=[0.997219], z=[0.000000]
x=[0.104537], y=[0.997115], z=[0.000000]
x=[0.106384], y=[0.997009], z=[0.000000]
x=[0.108230], y=[0.996902], z=[0.000000]
x=[0.110073], y=[0.996792], z=[0.000000]
x=[0.111915], y=[0.996680], z=[0.000000]
x=[0.113754], y=[0.996567], z=[0.000000]
x=[0.115592], y=[0.996451], z=[0.000000]
x=[0.117428], y=[0.996334], z=[0.000000]
x=[0.119262], y=[0.996215], z=[0.000000]
x=[0.121094], y=[0.996094], z=[0.000000]
x=[0.122924], y=[0.995971], z=[0.000000]
x=[0.124752], y=[0.995846], z=[0.000000]
x=[0.126578], y=[0.995719], z=[0.000000]
x=[0.128403], y=[0.995590], z=[0.000000]
x=[0.130225], y=[0.995460], z=[0.000000]
x=[0.132046], y=[0.995327], z=[0.000000]
x=[0.133864], y=[0.995193], z=[0.000000]
x=[0.135681], y=[0.995056], z=[0.000000]
x=[0.137496], y=[0.994918], z=[0.000000]
x=[0.139309], y=[0.994778], z=[0.000000]
x=[0.141120], y=[0.994636], z=[0.000000]
x=[0.142929], y=[0.994492], z=[0.000000]
x=[0.144736], y=[0.994346], z=[0.000000]
x=[0.146542], y=[0.994198], z=[0.000000]
x=[0.148345], y=[0.994048], z=[0.000000]
x=[0.150146], y=[0.993896], z=[0.000000]
x=[0.151946], y=[0.993743], z=[0.000000]
x=[0.153744], y=[0.993587], z=[0.000000]
